source_id,target_key,trim,year_month,mileage_km,price_won
39554653,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,252,38600000
39556892,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,252,38600000
40618898,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-03,21486,35400000
40620106,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-03,21486,35400000
41122539,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-01,51318,31500000
41390894,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-01,500,33300000
41411492,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-09,9149,29500000
41486891,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-10,570,32060000
41528764,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-05,11863,32500000
41530628,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-05,11863,32500000
41537669,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-09,5349,35800000
41544749,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-09,5349,35800000
41556386,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-09,7600,30900000
41575667,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-11,24457,28400000
41580933,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-02,17131,34200000
41634228,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-10,22922,34300000
41642653,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-11,21460,33790000
41652788,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-11,21460,33790000
41675685,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-10,10393,34990000
41684099,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-10,10393,34990000
41693434,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-11,39597,33500000
41710352,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-03,7,39900000
41715385,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-03,7,39900000
41730197,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-01,13849,34500000
41731974,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-01,13849,34500000
41804825,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-09,29385,32990000
41807370,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-11,6509,36300000
41812698,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-09,29385,32990000
41813199,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-11,6509,36300000
41817108,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-01,9778,36500000
41834561,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,28696,32990000
41842977,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-11,9634,33900000
41849962,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,28696,32990000
41851820,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-11,9634,33900000
41861404,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-03,624,32400000
41864196,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-08,23343,31900000
41869188,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-08,23343,31900000
41871622,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-03,14243,31500000
41871865,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-12,19792,33450000
41872787,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-12,19792,33450000
41880249,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-09,22090,34000000
